country,year,FP.CPI.TOTL.ZG
Switzerland,2023,2.13540088016377
Switzerland,2022,2.83502798644463
Switzerland,2021,0.581814168489856
Switzerland,2020,-0.725874933313384
Switzerland,2019,0.362886179940614
Switzerland,2018,0.936335464113563
Switzerland,2017,0.533787839825897
Switzerland,2016,-0.434618664285835
Switzerland,2015,-1.14390867228183
Switzerland,2014,-0.0132025387514939
Switzerland,2013,-0.217323155115693
Switzerland,2012,-0.692552018105253
Switzerland,2011,0.2313492076509
Switzerland,2010,0.688238707220026
Switzerland,2009,-0.480481936423275
Switzerland,2008,2.42604117060158
Switzerland,2007,0.732350603122248
Switzerland,2006,1.05950928324802
Switzerland,2005,1.17195420333703
Switzerland,2004,0.802908730955227
Switzerland,2003,0.638272930887201
Switzerland,2002,0.642711506543278
Switzerland,2001,0.989020329832546
Switzerland,2000,1.5585291967901
China,2023,0.234836828893051
China,2022,1.97357555739051
China,2021,0.981015135544882
China,2020,2.41942189457782
China,2019,2.89923416358227
China,2018,2.07479039965576
China,2017,1.59313600071436
China,2016,2.00000182191943
China,2015,1.43702380935655
China,2014,1.92164162788521
China,2013,2.62105001748115
China,2012,2.61952432645541
China,2011,5.55389892257493
China,2010,3.17532475269199
China,2009,-0.728165250932898
China,2008,5.92525137041092
China,2007,4.81676767378834
China,2006,1.6494309945586
China,2005,1.77641407667571
China,2004,3.82463743108159
China,2003,1.12760348729637
China,2002,-0.731970902350244
China,2001,0.719125609120114
China,2000,0.347811226864587
Germany,2023,5.94643667725823
Germany,2022,6.87257438551097
Germany,2021,3.06666666666673
Germany,2020,0.144877925813982
Germany,2019,1.44565976888253
Germany,2018,1.73216879766942
Germany,2017,1.50949485109628
Germany,2016,0.491747008445174
Germany,2015,0.514426137125456
Germany,2014,0.906794000434246
Germany,2013,1.50472330251876
Germany,2012,2.00848884782956
Germany,2011,2.07517283735874
Germany,2010,1.1038103778926
Germany,2009,0.312739007368447
Germany,2008,2.62837981637219
Germany,2007,2.29834400700951
Germany,2006,1.57742642840563
Germany,2005,1.54691114751328
Germany,2004,1.66573696655992
Germany,2003,1.03422218628562
Germany,2002,1.42080615551526
Germany,2001,1.98385731334471
Germany,2000,1.44026838719741
Spain,2023,3.53236133492433
Spain,2022,8.39057634118627
Spain,2021,3.0931351197642
Spain,2020,-0.322753017299739
Spain,2019,0.699518994458739
Spain,2018,1.6749813686379
Spain,2017,1.95607633363963
Spain,2016,-0.202598000426452
Spain,2015,-0.500365709903242
Spain,2014,-0.151114837527235
Spain,2013,1.40858109183019
Spain,2012,2.44612782366809
Spain,2011,3.1961018883379
Spain,2010,1.79986457728769
Spain,2009,-0.28781308353524
Spain,2008,4.07534335957339
Spain,2007,2.78679745804946
Spain,2006,3.51557576832128
Spain,2005,3.36881409750383
Spain,2004,3.03924881090925
Spain,2003,3.03888839396655
Spain,2002,3.06565685902219
Spain,2001,3.58983413338112
Spain,2000,3.43351563418767
France,2023,4.87835726508441
France,2022,5.22236748369735
France,2021,1.64233141038385
France,2020,0.476498852725066
France,2019,1.10825492288294
France,2018,1.85081508315502
France,2017,1.03228275064662
France,2016,0.18333486112386
France,2015,0.0375143805125182
France,2014,0.50775882293799
France,2013,0.863715497861805
France,2012,1.9541953161351
France,2011,2.11159795174994
France,2010,1.53112270420926
France,2009,0.0876204781574552
France,2008,2.81286194914787
France,2007,1.4879980595386
France,2006,1.67512449608723
France,2005,1.74586936380482
France,2004,2.14208964640241
France,2003,2.09847219146923
France,2002,1.9234122872706
France,2001,1.63478079549601
France,2000,1.67595988720927
United Kingdom,2023,6.79396706793963
United Kingdom,2022,7.92204883147902
United Kingdom,2021,2.51837109614213
United Kingdom,2020,0.989486703772491
United Kingdom,2019,1.73810460086513
United Kingdom,2018,2.29283990345938
United Kingdom,2017,2.55775577557747
United Kingdom,2016,1.0084173681141
United Kingdom,2015,0.36804684232536
United Kingdom,2014,1.45112016293279
United Kingdom,2013,2.29166666666659
United Kingdom,2012,2.5732347965453
United Kingdom,2011,3.8561124468282
United Kingdom,2010,2.49265472467065
United Kingdom,2009,1.96173173560109
United Kingdom,2008,3.52140856342539
United Kingdom,2007,2.38656150773327
United Kingdom,2006,2.4556616643929
United Kingdom,2005,2.0891364902507
United Kingdom,2004,1.39039756680422
United Kingdom,2003,1.37650038542013
United Kingdom,2002,1.52040245947455
United Kingdom,2001,1.53234960272418
United Kingdom,2000,1.18295624210408
Indonesia,2023,3.67013142377007
Indonesia,2022,4.20946383402165
Indonesia,2021,1.56012990525673
Indonesia,2020,1.9209680056685
Indonesia,2019,3.03058664969487
Indonesia,2018,3.1983464156241
Indonesia,2017,3.80879806953157
Indonesia,2016,3.5258051568793
Indonesia,2015,6.36312113115612
Indonesia,2014,6.39492540819922
Indonesia,2013,6.41251330156418
Indonesia,2012,4.27949999641975
Indonesia,2011,5.3560477898215
Indonesia,2010,5.13420400767928
Indonesia,2009,4.38641555014731
Indonesia,2008,10.2266645473148
Indonesia,2007,6.40656281325701
Indonesia,2006,13.1086720985296
Indonesia,2005,10.4531984193865
Indonesia,2004,6.06405988526521
Indonesia,2003,6.75731719362853
Indonesia,2002,11.9001175663778
Indonesia,2001,11.5001148791768
Indonesia,2000,3.68861915958352
India,2023,5.64914318907925
India,2022,6.69903414079852
India,2021,5.13140747176369
India,2020,6.62343677628535
India,2019,3.72950573539129
India,2018,3.9388264669163
India,2017,3.32817337461298
India,2016,4.94821634062141
India,2015,4.90697344127256
India,2014,6.66565671867899
India,2013,10.0178784746102
India,2012,9.47899691419801
India,2011,8.91179336483371
India,2010,11.9893899204244
India,2009,10.8823529411764
India,2008,8.34926704907581
India,2007,6.37288135593231
India,2006,5.79652337561634
India,2005,4.24634362031922
India,2004,3.76725173477515
India,2003,3.80585899528851
India,2002,4.29715203929563
India,2001,3.77929312235637
India,2000,4.0094359104519
Italy,2023,5.62219442195901
Italy,2022,8.20128991161718
Italy,2021,1.87378325762481
Italy,2020,-0.13770757391651
Italy,2019,0.611246943765304
Italy,2018,1.13748763600391
Italy,2017,1.22653316645812
Italy,2016,-0.09401665691575
Italy,2015,0.0387903996579733
Italy,2014,0.241047429826756
Italy,2013,1.21999342274306
Italy,2012,3.04136333226775
