country,year,FP.CPI.TOTL.ZG
Australia,2023,5.5970149253731
Australia,2022,6.59409671341846
Australia,2021,2.86391042204994
Australia,2020,0.846905537459305
Australia,2019,1.61076787290379
Australia,2018,1.91140094445691
Australia,2017,1.94864740944527
Australia,2016,1.27699094497324
Australia,2015,1.50836672165921
Australia,2014,2.48792270531404
Australia,2013,2.4498886414254
Australia,2012,1.76278015613196
Australia,2011,3.3038501560874
Australia,2010,2.91834002677376
Australia,2009,1.77111716621254
Australia,2008,4.35029854990048
Australia,2007,2.32761128891476
Australia,2006,3.55528773727026
Australia,2005,2.69183168316832
Australia,2004,2.34325522482583
Australia,2003,2.73259596616786
Australia,2002,2.98157453936348
Australia,2001,4.40713536201469
Australia,2000,4.45743514797224
Brazil,2023,4.59356282283204
Brazil,2022,9.28010608956873
Brazil,2021,8.30165975585673
Brazil,2020,3.21176803803376
Brazil,2019,3.73297621216894
Brazil,2018,3.66485028376729
Brazil,2017,3.44637335032669
Brazil,2016,8.73914352329393
Brazil,2015,9.02990102416136
Brazil,2014,6.32904015516139
Brazil,2013,6.20431066640101
Brazil,2012,5.40349914036997
Brazil,2011,6.6364496221309
Brazil,2010,5.03872690108075
Brazil,2009,4.88803479876799
Brazil,2008,5.67859390284168
Brazil,2007,3.64127299102652
Brazil,2006,4.18356812896909
Brazil,2005,6.86953720898964
Brazil,2004,6.59718509985963
Brazil,2003,14.7149197228147
Brazil,2002,8.45016437708331
Brazil,2001,6.84035902487523
Brazil,2000,7.04414105947266
Canada,2023,3.87900159788426
Canada,2022,6.80280115341613
Canada,2021,3.39519318527528
Canada,2020,0.716999632307827
Canada,2019,1.94926902411593
Canada,2018,2.26822567248103
Canada,2017,1.59688412852977
Canada,2016,1.42875954701085
Canada,2015,1.12524136094277
Canada,2014,1.90663590717861
Canada,2013,0.938291897815317
Canada,2012,1.51567823124517
Canada,2011,2.91213508872351
Canada,2010,1.77687154092627
Canada,2009,0.299466803009299
Canada,2008,2.37027067444299
Canada,2007,2.13838399266837
Canada,2006,2.00202539534161
Canada,2005,2.21355203439767
Canada,2004,1.85725871857256
Canada,2003,2.75856321360112
Canada,2002,2.25839440940855
Canada,2001,2.52512013979906
Canada,2000,2.71943995691976
