country,year,NY.GDP.MKTP.KD.ZG
Australia,2023,3.44199220009025
Australia,2022,4.24238555336139
Australia,2021,2.11116814768786
Australia,2020,-0.119590735829973
Australia,2019,2.17154505737176
Australia,2018,2.87846971467883
Australia,2017,2.27959179820343
Australia,2016,2.7593859723839
Australia,2015,2.19016928695221
Australia,2014,2.59528411594042
Australia,2013,2.60219339436559
Australia,2012,3.91670942454073
Australia,2011,2.40708018291988
Australia,2010,2.21998026536549
Australia,2009,1.89255581922549
Australia,2008,3.58626695226046
Australia,2007,3.77332171303566
Australia,2006,2.75534610557227
Australia,2005,3.15416753184221
Australia,2004,4.22428481359962
Australia,2003,3.09076190489348
Australia,2002,3.97958568067362
Australia,2001,2.02510553454593
Australia,2000,3.9215029305806
Brazil,2023,2.90848048667777
Brazil,2022,3.01669435393015
Brazil,2021,4.76260437908608
Brazil,2020,-3.2767587964736
Brazil,2019,1.22077782360842
Brazil,2018,1.783666761634
Brazil,2017,1.32286905404399
Brazil,2016,-3.27591690782192
Brazil,2015,-3.54576339269425
Brazil,2014,0.503955740242247
Brazil,2013,3.00482266944432
Brazil,2012,1.92117598576537
Brazil,2011,3.97442307944702
Brazil,2010,7.52822581815364
Brazil,2009,-0.125812002161169
Brazil,2008,5.09419544658736
Brazil,2007,6.06987060678338
Brazil,2006,3.96198871122617
Brazil,2005,3.20213206130431
Brazil,2004,5.75996463670954
Brazil,2003,1.14082899824888
Brazil,2002,3.05346185909312
Brazil,2001,1.38989640095637
Brazil,2000,4.38794944745618
Canada,2023,1.24892730403391
Canada,2022,3.81986633913397
Canada,2021,5.28695689105889
Canada,2020,-5.03823344128351
Canada,2019,1.9084319253883
Canada,2018,2.74296343112555
Canada,2017,3.03383490260789
Canada,2016,1.03855093491798
Canada,2015,0.649970993709132
Canada,2014,2.87346677184995
Canada,2013,2.32581357393478
Canada,2012,1.75566132540601
Canada,2011,3.13719438973661
Canada,2010,3.09080637403602
Canada,2009,-2.91508623949733
Canada,2008,0.995406309993598
Canada,2007,2.04990461109004
Canada,2006,2.6379438004107
Canada,2005,3.21045435651203
Canada,2004,3.09236383456562
Canada,2003,1.80638513484521
Canada,2002,2.9992553495694
Canada,2001,1.87509813216803
Canada,2000,5.13853918593026
Switzerland,2023,0.716066868695833
Switzerland,2022,2.56832817834069
Switzerland,2021,5.39188804141473
Switzerland,2020,-2.14173720650054
Switzerland,2019,1.14198232505277
Switzerland,2018,2.86044579461633
Switzerland,2017,1.36279955711416
Switzerland,2016,2.0686896670996
Switzerland,2015,1.64462768699285
Switzerland,2014,2.34988127508626
Switzerland,2013,1.79214405707484
Switzerland,2012,1.17925383325108
Switzerland,2011,1.81310819203695
Switzerland,2010,3.24339733550173
Switzerland,2009,-2.29737463071545
Switzerland,2008,2.80798363168692
Switzerland,2007,3.9163758177818
Switzerland,2006,4.07362844994275
Switzerland,2005,2.74969898498485
Switzerland,2004,2.70170920967028
Switzerland,2003,-0.0323984765377787
Switzerland,2002,-0.0732170840426534
Switzerland,2001,1.57566196744156
Switzerland,2000,3.95871971933516
China,2023,5.24955786387791
China,2022,2.95066992959268
China,2021,8.44846941687277
China,2020,2.23863835634639
China,2019,5.95050075367413
China,2018,6.7497738324959
China,2017,6.94720079331685
China,2016,6.84876220495761
China,2015,7.04132887873656
China,2014,7.42576365632412
China,2013,7.76615009773009
China,2012,7.86373644862111
China,2011,9.55083217877568
China,2010,10.6358710644913
China,2009,9.39872563259674
China,2008,9.65067891939361
China,2007,14.2308609331955
China,2006,12.7209556654032
China,2005,11.3945918098927
China,2004,10.1136213776263
China,2003,10.0380304810393
China,2002,9.13363078966614
China,2001,8.33573347817196
China,2000,8.49009340597647
Germany,2023,-0.266438410090913
Germany,2022,1.36973105536585
Germany,2021,3.66999986156735
Germany,2020,-4.09513749064689
Germany,2019,0.987893349167578
Germany,2018,1.11644310926225
Germany,2017,2.71602451931592
Germany,2016,2.29471067684281
Germany,2015,1.65271977174628
Germany,2014,2.16949892879079
Germany,2013,0.386224576109953
Germany,2012,0.474291305855544
Germany,2011,3.75796886586348
Germany,2010,4.14676754532437
Germany,2009,-5.54516453771706
Germany,2008,0.910403196145353
Germany,2007,2.89010718962479
Germany,2006,3.85573615221429
Germany,2005,0.885697236264619
Germany,2004,1.16236826742538
Germany,2003,-0.529928993631358
Germany,2002,-0.228310249295362
Germany,2001,1.63654101289237
Germany,2000,2.87724594841264
Spain,2023,2.67566349258229
Spain,2022,6.17931222572963
Spain,2021,6.6831441850028
Spain,2020,-10.9400706591866
Spain,2019,1.9611785315135
Spain,2018,2.39541120364247
Spain,2017,2.8960420808163
Spain,2016,2.91515602808174
Spain,2015,4.06086669718569
Spain,2014,1.52048592279819
Spain,2013,-1.4273221918188
Spain,2012,-2.8651136729107
Spain,2011,-0.639920691287372
Spain,2010,0.0941223166682619
Spain,2009,-3.76813307179789
Spain,2008,0.76716577493147
Spain,2007,3.53350012191149
Spain,2006,4.04343520720857
Spain,2005,3.55122551537241
Spain,2004,3.11453145202378
Spain,2003,2.93928966368206
Spain,2002,2.75545615332646
Spain,2001,3.91908879065753
Spain,2000,5.20064118585728
France,2023,0.936487502671483
France,2022,2.57084047443969
France,2021,6.88233786590355
France,2020,-7.44064593044142
France,2019,2.02744647639635
France,2018,1.64590872932709
France,2017,2.08361485062076
France,2016,0.860031082016107
France,2015,1.06675473488909
France,2014,0.997832937998666
France,2013,0.781756445913402
France,2012,0.183835271019575
France,2011,2.43757656877079
France,2010,2.00032472699981
France,2009,-2.82455150288962
France,2008,0.380171425522363
