country,year,gdp_growth_rate,inflation_rate
Australia,2000,3.9215029305806,4.45743514797224
Australia,2001,2.02510553454593,4.40713536201469
Australia,2002,3.97958568067362,2.98157453936348
Australia,2003,3.09076190489348,2.73259596616786
Australia,2004,4.22428481359962,2.34325522482583
Australia,2005,3.15416753184221,2.69183168316832
Australia,2006,2.75534610557227,3.55528773727026
Australia,2007,3.77332171303566,2.32761128891476
Australia,2008,3.58626695226046,4.35029854990048
Australia,2009,1.89255581922549,1.77111716621254
Australia,2010,2.21998026536549,2.91834002677376
Australia,2011,2.40708018291988,3.3038501560874
Australia,2012,3.91670942454073,1.76278015613196
Australia,2013,2.60219339436559,2.4498886414254
Australia,2014,2.59528411594042,2.48792270531404
Australia,2015,2.19016928695221,1.50836672165921
Australia,2016,2.7593859723839,1.27699094497324
Australia,2017,2.27959179820343,1.94864740944527
Australia,2018,2.87846971467883,1.91140094445691
Australia,2019,2.17154505737176,1.61076787290379
Australia,2020,-0.119590735829973,0.846905537459305
Australia,2021,2.11116814768786,2.86391042204994
Australia,2022,4.24238555336139,6.59409671341846
Australia,2023,3.44199220009025,5.5970149253731
Brazil,2000,4.38794944745618,7.04414105947266
Brazil,2001,1.38989640095637,6.84035902487523
Brazil,2002,3.05346185909312,8.45016437708331
Brazil,2003,1.14082899824888,14.7149197228147
Brazil,2004,5.75996463670954,6.59718509985963
Brazil,2005,3.20213206130431,6.86953720898964
Brazil,2006,3.96198871122617,4.18356812896909
Brazil,2007,6.06987060678338,3.64127299102652
Brazil,2008,5.09419544658736,5.67859390284168
Brazil,2009,-0.125812002161169,4.88803479876799
Brazil,2010,7.52822581815364,5.03872690108075
Brazil,2011,3.97442307944702,6.6364496221309
Brazil,2012,1.92117598576537,5.40349914036997
Brazil,2013,3.00482266944432,6.20431066640101
Brazil,2014,0.503955740242247,6.32904015516139
Brazil,2015,-3.54576339269425,9.02990102416136
Brazil,2016,-3.27591690782192,8.73914352329393
Brazil,2017,1.32286905404399,3.44637335032669
Brazil,2018,1.783666761634,3.66485028376729
Brazil,2019,1.22077782360842,3.73297621216894
Brazil,2020,-3.2767587964736,3.21176803803376
Brazil,2021,4.76260437908608,8.30165975585673
Brazil,2022,3.01669435393015,9.28010608956873
Brazil,2023,2.90848048667777,4.59356282283204
Canada,2000,5.13853918593026,2.71943995691976
Canada,2001,1.87509813216803,2.52512013979906
Canada,2002,2.9992553495694,2.25839440940855
Canada,2003,1.80638513484521,2.75856321360112
Canada,2004,3.09236383456562,1.85725871857256
Canada,2005,3.21045435651203,2.21355203439767
Canada,2006,2.6379438004107,2.00202539534161
Canada,2007,2.04990461109004,2.13838399266837
Canada,2008,0.995406309993598,2.37027067444299
Canada,2009,-2.91508623949733,0.299466803009299
Canada,2010,3.09080637403602,1.77687154092627
Canada,2011,3.13719438973661,2.91213508872351
Canada,2012,1.75566132540601,1.51567823124517
Canada,2013,2.32581357393478,0.938291897815317
Canada,2014,2.87346677184995,1.90663590717861
Canada,2015,0.649970993709132,1.12524136094277
Canada,2016,1.03855093491798,1.42875954701085
Canada,2017,3.03383490260789,1.59688412852977
Canada,2018,2.74296343112555,2.26822567248103
Canada,2019,1.9084319253883,1.94926902411593
Canada,2020,-5.03823344128351,0.716999632307827
Canada,2021,5.28695689105889,3.39519318527528
Canada,2022,3.81986633913397,6.80280115341613
Canada,2023,1.24892730403391,3.87900159788426
China,2000,8.49009340597647,0.347811226864587
China,2001,8.33573347817196,0.719125609120114
China,2002,9.13363078966614,-0.731970902350244
China,2003,10.0380304810393,1.12760348729637
China,2004,10.1136213776263,3.82463743108159
China,2005,11.3945918098927,1.77641407667571
China,2006,12.7209556654032,1.6494309945586
China,2007,14.2308609331955,4.81676767378834
China,2008,9.65067891939361,5.92525137041092
China,2009,9.39872563259674,-0.728165250932898
China,2010,10.6358710644913,3.17532475269199
China,2011,9.55083217877568,5.55389892257493
China,2012,7.86373644862111,2.61952432645541
China,2013,7.76615009773009,2.62105001748115
China,2014,7.42576365632412,1.92164162788521
China,2015,7.04132887873656,1.43702380935655
China,2016,6.84876220495761,2.00000182191943
China,2017,6.94720079331685,1.59313600071436
China,2018,6.7497738324959,2.07479039965576
China,2019,5.95050075367413,2.89923416358227
China,2020,2.23863835634639,2.41942189457782
China,2021,8.44846941687277,0.981015135544882
China,2022,2.95066992959268,1.97357555739051
China,2023,5.24955786387791,0.234836828893051
France,2000,4.14099999646893,1.67595988720927
France,2001,1.89946700332246,1.63478079549601
France,2002,1.06775025028361,1.9234122872706
France,2003,0.967827177709708,2.09847219146923
France,2004,2.86825057188587,2.14208964640241
France,2005,1.88856580217112,1.74586936380482
France,2006,2.7140645179325,1.67512449608723
France,2007,2.53048186196499,1.4879980595386
France,2008,0.380171425522363,2.81286194914787
France,2009,-2.82455150288962,0.0876204781574552
France,2010,2.00032472699981,1.53112270420926
France,2011,2.43757656877079,2.11159795174994
France,2012,0.183835271019575,1.9541953161351
France,2013,0.781756445913402,0.863715497861805
France,2014,0.997832937998666,0.50775882293799
France,2015,1.06675473488909,0.0375143805125182
France,2016,0.860031082016107,0.18333486112386
France,2017,2.08361485062076,1.03228275064662
France,2018,1.64590872932709,1.85081508315502
France,2019,2.02744647639635,1.10825492288294
France,2020,-7.44064593044142,0.476498852725066
France,2021,6.88233786590355,1.64233141038385
France,2022,2.57084047443969,5.22236748369735
France,2023,0.936487502671483,4.87835726508441
Germany,2000,2.87724594841264,1.44026838719741
Germany,2001,1.63654101289237,1.98385731334471
Germany,2002,-0.228310249295362,1.42080615551526
